Ponto,Amostra,SSID1,RSSI1,SSID2,RSSI2,SSID3,RSSI3,SSID4,RSSI4,SSID5,RSSI5,SSID6,RSSI6,SSID7,RSSI7,SSID8,RSSI8,SSID9,RSSI9,SSID10,RSSI10
RP1,70,CETELI_TREINAMENTOS,-69,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-69,CETELI_P&D,-70,CETELI_WIFI,-70,dlink-9A00,-71,lpmc_ft,-83,BRITO_AP,-87,IoT-zone-ufam,-91
RP1,71,CETELI_P&D,-69,eduroam,-71,wifi-zone-ufam-1,-71,VISITANTE_CETELI,-71,CETELI_TREINAMENTOS,-71,CETELI_WIFI,-72,dlink-9A00,-73,TPV,-85,lpmc_ft,-85,BRITO_AP,-86
RP1,72,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-70,VISITANTE_CETELI,-70,CETELI_TREINAMENTOS,-70,CETELI_P&D,-71,dlink-9A00,-76,lpmc_ft,-80,IoT-zone-ufam,-89,,,
RP1,73,eduroam,-67,wifi-zone-ufam-1,-67,CETELI_P&D,-70,VISITANTE_CETELI,-71,dlink-9A00,-71,CETELI_WIFI,-72,CETELI_TREINAMENTOS,-72,lpmc_ft,-80,BRITO_AP,-86,TPV,-88
RP1,74,wifi-zone-ufam-1,-69,CETELI_WIFI,-69,CETELI_P&D,-69,CETELI_TREINAMENTOS,-70,dlink-9A00,-71,VISITANTE_CETELI,-72,eduroam,-74,Lab-Materiais,-85,lpmc_ft,-85,BRITO_AP,-89
RP1,75,eduroam,-68,wifi-zone-ufam-1,-68,CETELI_WIFI,-72,VISITANTE_CETELI,-72,CETELI_P&D,-72,CETELI_TREINAMENTOS,-73,dlink-9A00,-73,BRITO_AP,-89,IoT-zone-ufam,-89,Lab-Materiais,-91
RP1,76,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_WIFI,-71,VISITANTE_CETELI,-71,CETELI_P&D,-71,dlink-9A00,-71,CETELI_TREINAMENTOS,-73,lpmc_ft,-84,Lab-Materiais,-89,BRITO_AP,-90
RP1,77,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-69,CETELI_WIFI,-77,VISITANTE_CETELI,-77,CETELI_P&D,-77,CETELI_TREINAMENTOS,-78,lpmc_ft,-86,TPV,-90,BRITO_AP,-91
RP1,78,dlink-9A00,-68,eduroam,-69,wifi-zone-ufam-1,-69,CETELI_WIFI,-73,CETELI_P&D,-73,VISITANTE_CETELI,-74,CETELI_TREINAMENTOS,-74,Lab-Materiais,-88,BRITO_AP,-89,IoT-zone-ufam,-91
RP1,79,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-69,CETELI_WIFI,-69,CETELI_TREINAMENTOS,-69,CETELI_P&D,-69,dlink-9A00,-75,lpmc_ft,-85,BRITO_AP,-86,Lab-Materiais,-87
RP1,80,eduroam,-69,wifi-zone-ufam-1,-69,dlink-9A00,-71,VISITANTE_CETELI,-74,CETELI_P&D,-74,CETELI_TREINAMENTOS,-75,CETELI_WIFI,-76,lpmc_ft,-83,BRITO_AP,-90,Lab-Materiais,-90
RP1,81,eduroam,-71,wifi-zone-ufam-1,-71,CETELI_P&D,-74,dlink-9A00,-75,CETELI_WIFI,-77,VISITANTE_CETELI,-77,CETELI_TREINAMENTOS,-77,lpmc_ft,-84,BRITO_AP,-87,IoT-zone-ufam,-92
RP1,82,wifi-zone-ufam-1,-72,eduroam,-72,dlink-9A00,-75,CETELI_TREINAMENTOS,-76,CETELI_WIFI,-78,CETELI_P&D,-78,VISITANTE_CETELI,-79,Lab-Materiais,-86,lpmc_ft,-87,TPV,-88
RP1,83,eduroam,-70,wifi-zone-ufam-1,-70,CETELI_P&D,-72,dlink-9A00,-72,CETELI_TREINAMENTOS,-74,VISITANTE_CETELI,-77,CETELI_WIFI,-77,BRITO_AP,-86,IoT-zone-ufam,-87,Lab-Materiais,-88
RP1,84,wifi-zone-ufam-1,-70,eduroam,-71,dlink-9A00,-73,CETELI_WIFI,-75,VISITANTE_CETELI,-75,CETELI_TREINAMENTOS,-75,CETELI_P&D,-76,BRITO_AP,-83,Lab-Materiais,-85,IoT-zone-ufam,-88
RP1,85,eduroam,-71,wifi-zone-ufam-1,-71,dlink-9A00,-72,CETELI_TREINAMENTOS,-76,VISITANTE_CETELI,-77,CETELI_P&D,-77,CETELI_WIFI,-79,lpmc_ft,-82,BRITO_AP,-84,Lab-Materiais,-86
RP1,86,eduroam,-71,wifi-zone-ufam-1,-71,dlink-9A00,-71,CETELI_WIFI,-78,VISITANTE_CETELI,-78,CETELI_TREINAMENTOS,-80,CETELI_P&D,-80,lpmc_ft,-82,BRITO_AP,-88,TPV,-90
RP1,87,VISITANTE_CETELI,-67,CETELI_P&D,-67,CETELI_WIFI,-68,CETELI_TREINAMENTOS,-68,dlink-9A00,-69,eduroam,-71,wifi-zone-ufam-1,-71,lpmc_ft,-81,BRITO_AP,-86,Lab-Materiais,-86
RP1,88,CETELI_P&D,-68,CETELI_WIFI,-69,CETELI_TREINAMENTOS,-70,dlink-9A00,-71,eduroam,-72,wifi-zone-ufam-1,-72,VISITANTE_CETELI,-73,TPV,-78,lpmc_ft,-80,Lab-Materiais,-84
RP1,89,wifi-zone-ufam-1,-70,dlink-9A00,-71,eduroam,-72,CETELI_WIFI,-73,CETELI_TREINAMENTOS,-73,CETELI_P&D,-73,VISITANTE_CETELI,-74,lpmc_ft,-81,TPV,-82,BRITO_AP,-86
RP1,90,dlink-9A00,-70,CETELI_TREINAMENTOS,-72,CETELI_WIFI,-73,VISITANTE_CETELI,-73,CETELI_P&D,-73,eduroam,-74,wifi-zone-ufam-1,-74,Lab-Materiais,-84,IoT-zone-ufam,-88,LAB_LME_2G,-91
RP1,91,dlink-9A00,-69,CETELI_P&D,-70,wifi-zone-ufam-1,-70,CETELI_WIFI,-71,VISITANTE_CETELI,-71,CETELI_TREINAMENTOS,-71,eduroam,-73,lpmc_ft,-78,TPV,-87,IoT-zone-ufam,-89
RP1,92,eduroam,-72,wifi-zone-ufam-1,-72,VISITANTE_CETELI,-73,CETELI_WIFI,-73,dlink-9A00,-73,CETELI_TREINAMENTOS,-74,CETELI_P&D,-75,lpmc_ft,-79,TPV,-81,BRITO_AP,-87
RP1,93,eduroam,-69,wifi-zone-ufam-1,-69,VISITANTE_CETELI,-73,CETELI_TREINAMENTOS,-73,CETELI_P&D,-73,CETELI_WIFI,-74,dlink-9A00,-76,Lab-Materiais,-85,BRITO_AP,-90,IoT-zone-ufam,-91
