rp,CETELI_WIFI,CETELI_TREINAMENTOS,CETELI_P&D,VISITANTE_CETELI,eduroam,wifi-zone-ufam-1,dlink-9A00,TPV,BRITO_AP,S80
2,-58.0,-58.0,-57.0,-57.0,-71.0,-71.0,-59.0,-73.0,-100.0,-84.0
2,-58.0,-59.0,-57.0,-58.0,-71.0,-71.0,-66.0,-73.0,-100.0,-84.0
2,-57.0,-57.0,-57.0,-57.0,-71.0,-71.0,-67.0,-73.0,-85.0,-83.0
2,-58.0,-56.0,-57.0,-58.0,-71.0,-71.0,-66.0,-74.0,-100.0,-83.0
2,-57.0,-57.0,-58.0,-58.0,-71.0,-71.0,-59.0,-74.0,-100.0,-100.0
2,-58.0,-57.0,-58.0,-56.0,-71.0,-71.0,-66.0,-74.0,-100.0,-100.0
2,-57.0,-57.0,-58.0,-57.0,-71.0,-71.0,-67.0,-100.0,-100.0,-84.0
2,-61.0,-57.0,-58.0,-57.0,-71.0,-71.0,-67.0,-74.0,-100.0,-100.0
2,-57.0,-58.0,-58.0,-57.0,-71.0,-71.0,-59.0,-74.0,-100.0,-100.0
2,-57.0,-57.0,-58.0,-57.0,-71.0,-71.0,-67.0,-72.0,-100.0,-83.0
2,-58.0,-57.0,-58.0,-58.0,-71.0,-71.0,-59.0,-74.0,-83.0,-100.0
2,-57.0,-58.0,-58.0,-58.0,-71.0,-71.0,-59.0,-73.0,-100.0,-85.0
2,-58.0,-58.0,-57.0,-56.0,-71.0,-71.0,-67.0,-74.0,-100.0,-100.0
2,-56.0,-58.0,-57.0,-57.0,-71.0,-71.0,-59.0,-74.0,-100.0,-82.0
2,-57.0,-57.0,-57.0,-58.0,-71.0,-71.0,-67.0,-73.0,-100.0,-83.0
2,-59.0,-57.0,-57.0,-58.0,-72.0,-71.0,-59.0,-73.0,-100.0,-83.0
2,-57.0,-58.0,-58.0,-58.0,-71.0,-71.0,-67.0,-75.0,-100.0,-83.0
2,-57.0,-58.0,-57.0,-57.0,-71.0,-71.0,-59.0,-74.0,-84.0,-100.0
2,-57.0,-58.0,-58.0,-58.0,-71.0,-70.0,-67.0,-74.0,-100.0,-100.0
